order_id,date,customer_id,product_id,quantity
O00001,2024-10-31,C999,P019,2
O00002,2024-03-14,C999,P014,1
O00003,2024-10-21,C999,P004,1
O00004,2024-01-03,C999,P003,3
O00005,2024-10-18,C999,P018,4
O00006,2024-10-15,C010,P006,2
O00007,2024-10-12,C013,P016,5
O00008,2024-08-31,C046,P003,2
O00009,2024-06-21,C048,P006,5
O00010,2024-09-15,C003,P006,2
O00011,2024-04-11,C032,P006,3
O00012,2024-10-12,C012,P014,4
O00013,2024-07-22,C010,P019,1
O00014,2024-06-16,C015,P019,5
O00015,2024-07-04,C010,P015,2
O00016,2024-07-27,C025,P005,3
O00017,2024-01-14,C050,P020,4
O00018,2024-02-21,C030,P011,4
O00019,2024-03-30,C037,P011,1
O00020,2024-02-11,C025,P015,5
O00021,2024-06-09,C001,P016,4
O00022,2024-09-01,C005,P020,5
O00023,2024-08-27,C014,P012,3
O00024,2024-06-21,C013,P013,4
O00025,2024-11-08,C043,P015,3
O00026,2024-07-25,C043,P006,5
O00027,2024-01-29,C043,P007,5
O00028,2024-10-06,C032,P013,5
O00029,2024-07-29,C028,P002,3
O00030,2024-08-20,C033,P007,4
O00031,2024-07-25,C021,P015,2
O00032,2024-07-21,C034,P020,3
O00033,2024-02-03,C040,P011,4
O00034,2024-07-23,C039,P008,1
O00035,2024-10-17,C031,P009,4
O00036,2024-04-21,C003,P014,1
O00037,2024-08-08,C037,P011,3
O00038,2024-01-12,C019,P001,3
O00039,2024-05-07,C038,P011,3
O00040,2024-06-08,C027,P009,3
O00041,2024-12-25,C045,P015,3
O00042,2024-03-19,C017,P018,3
O00043,2024-04-11,C047,P020,3
O00044,2024-05-29,C043,P013,3
O00045,2024-12-29,C017,P008,4
O00046,2024-11-08,C025,P009,3
O00047,2024-01-13,C027,P004,4
O00048,2024-03-26,C039,P019,5
O00049,2024-10-27,C035,P017,5
O00050,2024-01-22,C043,P018,1
O00051,2024-11-09,C019,P007,4
O00052,2024-04-12,C026,P007,2
O00053,2024-12-01,C022,P018,1
O00054,2024-04-17,C046,P011,4
O00055,2024-06-07,C016,P015,1
O00056,2024-08-30,C030,P010,5
O00057,2024-02-16,C007,P009,4
O00058,2024-07-22,C043,P013,5
O00059,2024-07-03,C020,P017,4
O00060,2024-10-13,C018,P007,5
O00061,2024-12-30,C030,P017,1
O00062,2024-08-31,C025,P005,5
O00063,2024-05-29,C043,P009,1
O00064,2024-05-28,C027,P019,2
O00065,2024-06-01,C026,P020,1
O00066,2024-10-24,C006,P019,3
O00067,2024-04-27,C002,P007,4
O00068,2024-03-02,C020,P017,2
O00069,2024-05-02,C050,P019,5
O00070,2024-01-09,C046,P020,4
O00071,2024-02-08,C032,P001,4
O00072,2024-02-02,C032,P015,5
O00073,2024-10-09,C020,P020,3
O00074,2024-09-21,C009,P016,2
O00075,2024-09-12,C001,P005,5
O00076,2024-06-18,C017,P016,3
O00077,2024-09-19,C016,P003,4
O00078,2024-02-29,C010,P010,2
O00079,2024-11-25,C013,P013,2
O00080,2024-07-02,C002,P010,1
O00081,2024-12-09,C031,P014,2
O00082,2024-02-25,C047,P005,1
O00083,2024-07-01,C035,P013,4
O00084,2024-09-11,C023,P013,1
O00085,2024-06-30,C022,P013,4
O00086,2024-06-12,C016,P006,5
O00087,2024-03-01,C008,P007,4
O00088,2024-05-19,C030,P006,3
O00089,2024-03-28,C029,P010,1
O00090,2024-04-20,C001,P012,5
O00091,2024-09-07,C021,P008,1
O00092,2024-08-18,C014,P009,4
O00093,2024-08-10,C009,P006,4
O00094,2024-05-12,C036,P005,1
O00095,2024-12-17,C027,P014,4
O00096,2024-02-02,C032,P017,1
O00097,2024-05-05,C036,P006,2
O00098,2024-02-13,C050,P018,5
O00099,2024-05-04,C041,P012,5
O00100,2024-12-18,C032,P004,2
O00101,2024-05-14,C044,P008,5
O00102,2024-11-28,C024,P001,5
O00103,2024-06-30,C050,P001,4
O00104,2024-09-13,C039,P007,1
O00105,2024-06-16,C033,P010,2
O00106,2024-04-07,C046,P016,4
O00107,2024-10-06,C026,P003,5
O00108,2024-12-20,C037,P017,5
O00109,2024-04-06,C015,P005,3
O00110,2024-10-12,C049,P003,2
O00111,2024-04-05,C032,P014,5
