MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.7056,22.0,4.4502,1.1416,1773.0,3.0922,40.02,-122.25,1.7255
4.8575,36.0,5.7551,1.0897,199.0,3.681,37.17,-118.79,2.9542
3.3045,9.0,8.6213,1.1102,754.0,3.5749,33.68,-115.29,2.139
2.9988,16.0,6.061,1.1367,310.0,4.7781,36.92,-122.1,1.9076
5.2304,6.0,5.2884,1.1086,1322.0,2.5858,41.01,-123.05,2.9634
3.1715,46.0,4.602,1.219,1614.0,3.2235,38.05,-120.85,2.159
4.1023,13.0,3.7879,1.0956,236.0,3.1722,39.66,-114.65,1.6001
3.8585,21.0,6.2804,1.3617,3000.0,3.1345,35.3,-122.73,2.1828
5.2276,24.0,6.2152,1.1067,408.0,1.9881,35.76,-123.11,2.6826
2.6681,20.0,4.8407,0.8445,1560.0,2.0532,33.61,-114.32,2.2713
6.3145,40.0,6.856,1.1957,2956.0,3.0052,35.76,-120.37,3.6615
2.2335,47.0,5.4253,1.1588,1341.0,1.7393,34.11,-122.81,2.2127
4.2678,30.0,6.3297,1.1049,646.0,2.7326,37.62,-118.71,2.1534
3.9658,43.0,5.7554,1.0611,614.0,2.482,36.24,-124.16,3.0527
2.0954,6.0,5.1874,0.8,1368.0,2.7616,40.44,-120.04,1.9942
4.488,50.0,4.2541,0.808,2055.0,3.9059,36.14,-123.94,2.4348
2.8045,6.0,5.2254,1.3471,1521.0,2.1373,34.52,-118.65,2.2903
1.6318,4.0,6.4105,1.0122,602.0,3.6958,33.3,-118.05,0.9714
4.8373,2.0,4.7902,1.2448,1043.0,2.543,34.9,-124.26,2.0733
1.2033,13.0,5.9277,0.8595,531.0,2.6426,39.12,-119.17,1.4987
1.8582,43.0,4.1007,0.943,526.0,3.3724,38.45,-114.85,1.0083
3.2802,16.0,6.3361,1.2018,501.0,2.7807,38.39,-120.32,2.7126
5.2068,41.0,5.7755,1.0846,869.0,2.286,40.65,-114.75,2.7188
4.6585,22.0,3.9575,1.1807,1130.0,2.7038,34.9,-114.67,2.2916
3.669,6.0,5.1312,1.098,1234.0,1.5787,36.97,-121.9,1.922
0.9124,25.0,6.5177,1.0688,1462.0,3.3049,34.1,-118.53,1.7649
2.1636,12.0,3.8892,0.998,632.0,1.0,34.58,-116.0,1.8795
2.5009,15.0,4.1149,0.9209,1149.0,3.7104,36.02,-117.21,1.025
1.5761,27.0,5.3166,1.3104,1259.0,3.4922,39.22,-116.7,1.0422
0.7191,41.0,7.96,1.3351,2517.0,4.2811,40.42,-121.69,1.4428
3.3812,30.0,4.5929,0.9442,245.0,4.7457,35.42,-115.12,1.4951
4.7477,12.0,5.9943,0.9344,324.0,3.7486,36.28,-121.94,3.0731
2.37,37.0,5.7122,1.0478,1710.0,2.4981,40.93,-117.85,1.6419
5.1672,36.0,4.6926,1.1511,1839.0,4.7381,39.91,-115.45,2.3035
1.0908,13.0,5.5934,1.0727,1715.0,2.0449,39.06,-120.71,0.7653
1.5057,44.0,4.8626,1.1749,1702.0,1.4778,36.37,-118.78,1.0832
3.3364,44.0,4.9706,1.0926,272.0,4.482,35.74,-117.39,2.0624
2.2353,31.0,3.4065,1.0828,3729.0,3.4812,39.37,-115.02,1.4392
4.5138,16.0,5.3707,1.462,2325.0,1.4993,33.39,-119.82,3.2558
4.0754,19.0,6.4789,1.0212,276.0,1.9157,37.66,-118.27,2.0849
2.345,23.0,5.4689,1.346,938.0,3.441,33.08,-122.88,1.6797
1.1761,10.0,6.7086,1.317,897.0,2.304,38.42,-123.65,1.1288
2.1652,16.0,6.0964,1.1756,1068.0,2.4191,37.9,-124.09,2.4737
4.1358,7.0,5.3286,0.8111,808.0,4.5731,33.07,-119.53,1.9039
4.6215,8.0,4.6465,1.1047,438.0,4.7186,36.49,-118.84,1.9094
2.242,38.0,4.8165,1.0228,1276.0,3.1174,34.33,-123.44,1.5816
0.7156,7.0,3.6354,1.103,2628.0,2.8796,40.08,-122.49,0.7434
1.0425,24.0,5.0795,0.9406,788.0,3.722,41.18,-121.64,1.0243
3.934,22.0,5.5752,1.2134,1454.0,2.5507,35.49,-115.39,2.2613
2.3189,3.0,7.4585,1.2477,1092.0,1.2156,32.78,-123.31,2.2655
2.3568,43.0,6.034,1.2755,1702.0,1.0,41.03,-119.4,1.445
1.4875,51.0,4.3622,1.0427,1019.0,2.9411,40.52,-116.41,1.1505
1.4666,33.0,3.6728,0.9411,696.0,3.7055,40.07,-115.6,0.9582
5.1154,35.0,5.1521,1.1528,824.0,3.0128,35.89,-117.37,2.3709
4.0195,12.0,6.3741,1.3634,2560.0,3.648,33.26,-121.64,2.5147
1.9663,44.0,5.1353,1.1104,1199.0,3.7279,41.76,-123.09,2.1492
3.1844,40.0,6.0504,1.1678,1170.0,4.1088,37.19,-122.72,2.0034
3.5385,23.0,5.1826,1.0648,2506.0,3.149,35.89,-116.6,2.0475
7.6763,36.0,6.2604,1.0245,2823.0,3.2207,39.88,-121.33,4.1362
1.3753,49.0,3.4833,1.1987,107.0,2.9706,38.87,-120.92,1.2592
3.5097,31.0,7.325,1.0841,332.0,2.7933,32.9,-122.54,2.857
5.1003,11.0,4.065,1.1605,2025.0,1.7424,41.6,-119.95,2.6959
7.1585,17.0,6.3525,1.1761,1241.0,3.9376,37.78,-120.95,4.2548
1.8967,10.0,5.0734,1.1521,2830.0,2.693,34.29,-120.73,1.7439
2.2989,17.0,5.261,1.1837,247.0,2.6472,32.65,-123.96,2.2478
4.5395,46.0,5.1107,0.972,1376.0,2.5667,37.75,-119.67,2.994
0.8998,10.0,5.7067,0.9629,1764.0,1.9277,38.14,-123.18,1.6641
3.7264,46.0,5.949,1.0936,908.0,2.9316,33.45,-118.94,2.5692
9.2891,15.0,6.67,1.0972,1946.0,3.4131,37.68,-117.61,4.1483
3.97,26.0,7.0895,1.0217,2053.0,2.4358,36.6,-118.84,2.6453
0.5,27.0,5.7982,1.1362,1102.0,3.8301,36.66,-122.84,1.1545
1.6476,7.0,7.4564,1.2362,1045.0,2.7053,41.76,-118.14,1.381
1.9387,10.0,5.5116,1.2781,2192.0,1.7739,35.31,-120.17,2.0884
5.803,16.0,6.6929,1.3118,1357.0,4.099,40.9,-120.71,3.2421
2.718,4.0,5.9145,0.9028,1680.0,3.1588,35.77,-122.81,1.7843
0.7256,39.0,4.741,0.9256,1352.0,3.6906,34.21,-114.36,1.0791
2.9238,28.0,5.6175,1.0566,1303.0,3.7095,33.95,-120.37,2.4345
3.3098,44.0,6.0038,1.112,1043.0,2.2431,41.44,-119.74,2.1395
2.1164,45.0,5.3614,1.0642,1759.0,2.5825,32.72,-123.36,2.9684
1.4475,18.0,5.8954,1.0171,586.0,3.8274,34.58,-117.55,0.9295
9.8734,42.0,6.4384,1.0543,260.0,4.4682,35.73,-121.47,5.0
5.1101,4.0,5.372,1.1725,1168.0,3.0506,38.74,-116.9,1.9962
5.3865,22.0,2.0,0.9006,2859.0,2.4982,36.07,-123.63,3.5132
2.7219,34.0,7.4139,1.4515,1359.0,4.3459,32.69,-121.33,2.179
1.8742,24.0,5.0429,1.1031,971.0,2.4987,37.41,-116.84,1.2016
2.189,38.0,4.4121,1.2576,875.0,3.2632,40.9,-120.34,2.3324
1.0884,44.0,4.0511,1.013,830.0,2.6578,40.92,-123.96,1.8778
7.5898,22.0,4.9963,1.1862,100.0,3.2153,41.92,-116.4,3.2719
2.7954,14.0,4.7247,1.115,2597.0,2.2436,35.75,-114.64,1.2224
6.5991,30.0,4.5156,1.2285,763.0,2.7003,33.66,-120.53,4.1456
2.2629,45.0,4.5814,1.0702,1184.0,2.4982,33.16,-118.08,2.0056
4.0055,51.0,6.0357,1.3327,926.0,3.5298,40.74,-120.57,2.2719
3.4268,42.0,7.8364,0.8762,660.0,3.1306,39.61,-118.75,1.8668
0.9972,13.0,6.3847,1.2424,2687.0,3.7042,38.46,-116.91,0.15
