age,income,credit_score,debt_ratio,num_loans,employed,approved
24,114096,688,0.757,0,0,0
55,63205,724,0.169,3,1,1
49,60412,843,0.161,0,0,1
40,95669,759,0.206,0,1,1
40,115122,558,0.335,2,0,1
58,82607,493,0.484,4,0,0
24,51923,714,0.439,0,1,1
51,50598,684,0.376,2,1,0
29,49427,821,0.429,4,0,0
25,43874,693,0.246,3,1,0
44,84633,665,0.313,4,1,1
63,120755,592,0.347,1,1,1
53,81069,511,0.112,5,1,1
54,36924,804,0.176,0,0,1
52,76190,785,0.182,3,1,1
55,76940,540,0.465,2,1,0
43,169627,740,0.387,0,1,1
26,48911,614,0.442,5,1,1
57,71041,641,0.074,4,1,1
40,147976,794,0.127,1,1,1
43,95344,791,0.449,0,1,1
37,99202,550,0.0,4,1,1
29,84784,593,0.534,3,1,0
61,91421,783,0.077,0,1,1
55,106929,819,0.477,5,0,0
49,61355,509,0.217,4,0,1
38,110755,788,0.507,2,1,0
57,50373,661,0.831,1,0,1
44,91371,698,0.009,1,1,1
40,86709,507,0.454,2,1,0
40,65647,731,0.079,0,0,1
30,80807,730,0.414,2,0,1
25,65504,725,0.319,1,0,1
45,55975,772,0.369,0,0,1
60,71969,830,0.213,0,1,0
23,55346,794,0.467,2,1,1
58,91193,755,0.133,2,0,1
57,54460,843,0.536,2,0,1
33,104501,729,0.289,4,0,1
48,53865,728,0.14,3,1,1
28,66806,680,0.589,1,1,0
54,65457,764,0.34,5,0,0
51,129516,506,0.636,4,1,0
36,91433,667,0.533,2,0,0
23,75633,637,0.23,0,1,1
63,96985,817,0.337,5,0,1
40,38958,506,0.368,4,1,0
60,80230,718,0.579,2,1,1
50,163879,548,0.416,0,0,0
55,85313,806,0.376,0,1,0
54,83410,795,0.32,1,1,1
29,98676,567,0.342,1,0,0
37,111437,802,0.546,1,0,1
41,40483,663,0.351,2,0,1
42,45204,839,0.291,0,1,1
22,87672,750,0.265,1,0,1
45,63421,492,0.267,5,0,1
27,128922,555,0.14,5,1,0
53,72944,629,0.237,0,1,1
51,41385,558,0.575,4,1,0
61,52258,528,0.319,5,0,1
53,31113,841,0.456,3,1,1
37,75043,801,0.0,2,0,1
63,76254,640,0.435,2,0,0
39,70206,559,0.326,1,1,1
35,118820,547,0.278,2,1,1
60,123901,818,0.377,5,1,0
37,76735,602,0.276,3,0,1
24,38585,484,0.031,2,1,0
41,101094,627,0.488,0,0,0
56,98926,648,0.386,5,0,0
29,90766,710,0.303,0,0,1
41,114837,605,0.205,4,1,1
26,54180,821,0.13,1,0,1
51,164525,718,0.384,1,1,1
41,58218,845,0.592,1,0,1
35,105872,615,0.38,2,1,1
30,45125,721,0.143,4,1,1
45,58816,615,0.384,2,1,1
50,138480,738,0.342,0,0,1
62,74343,755,0.48,1,0,0
40,109287,599,0.441,0,1,0
28,88494,826,0.0,2,0,1
57,78513,797,0.432,5,1,1
48,131282,810,0.199,5,0,1
51,74976,560,0.137,5,1,0
25,43674,745,0.322,0,0,0
34,61489,519,0.412,2,0,0
54,98782,519,0.104,0,0,1
57,93544,840,0.456,2,1,0
40,47065,536,0.465,3,1,0
56,63211,799,0.357,4,0,1
58,66447,639,0.22,2,0,1
38,71671,592,0.203,0,0,1
60,50321,507,0.504,2,1,0
33,65370,729,0.123,2,0,1
31,63117,746,0.51,3,0,0
51,106702,652,0.325,0,1,1
49,108115,779,0.336,3,1,1
27,77398,599,0.094,2,1,1
57,71008,684,0.328,4,1,1
29,85539,586,0.442,5,1,0
56,61203,695,0.15,1,1,1
21,54522,530,0.425,4,1,0
56,58611,656,0.363,0,1,1
55,65223,683,0.253,5,1,0
55,54206,685,0.478,2,0,0
50,86204,645,0.02,4,1,1
41,105151,718,0.402,4,1,1
52,46736,669,0.593,3,1,0
33,82170,584,0.566,2,1,0
55,75416,559,0.408,4,0,0
45,91792,719,0.305,2,0,1
41,81083,827,0.255,3,1,1
43,48972,758,0.305,3,1,1
46,52361,716,0.432,2,1,1
22,82294,820,0.229,0,1,1
27,116754,812,0.464,1,1,1
31,37526,667,0.67,5,0,0
26,91928,520,0.341,3,0,0
40,123516,714,0.148,3,1,1
50,77203,710,0.148,1,0,1
49,98748,582,0.466,4,0,0
41,63684,794,0.341,2,1,1
58,78118,801,0.482,1,1,1
45,46186,602,0.27,0,0,1
24,35855,656,0.475,2,0,0
54,113292,552,0.326,3,0,1
46,57700,545,0.24,1,0,0
48,69447,578,0.29,1,1,1
45,50136,615,0.17,1,0,1
45,49725,580,0.648,1,1,0
24,76643,536,0.336,4,0,1
45,63095,645,0.447,2,1,0
55,92971,710,0.269,2,0,1
34,95430,600,0.192,0,1,1
47,91131,677,0.315,3,1,1
22,88545,580,0.515,5,0,0
36,141489,740,0.272,4,0,1
40,56055,719,0.219,2,0,1
64,79900,835,0.373,1,0,1
30,121079,499,0.425,2,1,0
33,126797,795,0.596,0,1,1
38,49520,605,0.403,0,0,0
64,73016,504,0.447,4,0,0
58,131019,735,0.458,5,1,1
22,97303,543,0.177,5,1,0
31,87212,545,0.206,3,1,1
57,75476,842,0.187,5,1,0
23,71213,561,0.15,2,1,0
58,90096,682,0.469,1,1,1
33,74565,554,0.394,1,1,1
61,80246,525,0.362,1,0,1
33,83723,480,0.0,4,1,1
40,64243,485,0.658,0,0,0
50,98125,655,0.216,5,1,0
26,225876,640,0.658,4,1,0
45,43731,494,0.133,2,0,0
43,91232,609,0.228,4,0,1
55,62423,580,0.02,0,0,1
64,99693,691,0.404,2,1,0
50,82789,848,0.185,0,0,1
39,106341,735,0.189,0,0,1
38,122907,819,0.144,0,1,0
39,87125,551,0.467,4,1,1
56,121052,559,0.457,4,0,0
35,35855,757,0.622,5,0,1
28,142118,594,0.247,5,1,1
35,92877,794,0.383,5,1,1
21,118777,651,0.157,5,1,0
25,53146,554,0.3,0,0,0
24,60900,792,0.272,4,0,0
54,85719,683,0.42,4,0,0
52,80967,776,0.503,0,1,1
51,89934,647,0.499,0,0,0
41,119054,526,0.224,5,0,1
52,43911,731,0.5,5,0,1
28,114530,526,0.343,1,0,0
60,81687,725,0.301,0,1,1
43,75844,634,0.244,2,0,1
62,48672,772,0.266,0,1,1
27,97132,801,0.611,4,0,0
42,34990,630,0.396,2,0,0
51,102201,806,0.376,0,1,1
42,48316,521,0.311,5,1,0
40,82989,519,0.717,4,1,0
28,78123,847,0.546,5,0,0
37,122650,692,0.242,5,1,1
31,76514,646,0.309,0,0,1
34,63883,537,0.318,4,1,1
51,68217,586,0.372,4,0,1
48,127168,733,0.245,4,1,1
47,98269,784,0.416,1,0,1
36,71167,819,0.568,2,1,1
63,74982,630,0.153,5,0,1
24,47063,648,0.181,0,1,1
36,93314,540,0.278,3,1,1
26,43994,510,0.284,4,0,0
35,105967,642,0.65,4,0,0
63,85201,694,0.5,3,1,0
37,187810,518,0.492,4,1,0
60,55421,631,0.31,5,1,1
42,78576,717,0.307,4,1,1
51,152841,780,0.132,0,0,1
41,123592,827,0.467,1,0,1
32,63837,605,0.424,1,0,0
54,88093,624,0.543,2,0,0
63,81508,803,0.318,2,0,1
32,89899,736,0.329,1,1,0
55,63781,581,0.376,4,0,1
32,78944,733,0.484,0,0,0
52,46557,538,0.129,4,1,0
55,85395,646,0.46,3,1,0
40,95346,593,0.347,5,0,1
53,75219,847,0.191,0,1,1
32,46281,492,0.037,1,1,0
24,115121,797,0.33,5,1,1
25,92535,584,0.567,2,1,0
40,63174,493,0.601,3,1,0
60,73832,724,0.403,0,0,1
26,48171,730,0.644,4,1,0
41,56889,532,0.344,1,1,1
51,67476,494,0.493,5,1,0
29,125204,521,0.282,2,1,0
52,65116,631,0.273,1,1,1
34,101908,528,0.248,3,1,1
56,67464,740,0.041,2,0,0
46,88835,508,0.543,2,0,1
45,77518,771,0.254,5,0,1
28,110561,803,0.23,2,1,1
41,67546,745,0.173,2,1,1
58,46975,829,0.319,3,0,0
21,50215,827,0.615,1,0,0
54,67616,497,0.664,4,0,0
42,52606,606,0.101,1,0,1
52,94026,761,0.297,1,0,1
50,69199,605,0.195,0,0,1
40,187001,752,0.498,2,0,0
34,44336,766,0.393,3,1,1
48,87468,848,0.255,4,1,1
27,54884,602,0.361,5,1,1
46,68533,608,0.278,4,0,1
25,85584,488,0.592,1,1,1
49,36094,585,0.432,4,1,0
48,88490,583,0.45,1,1,0
24,158542,647,0.0,1,0,0
54,69498,635,0.34,2,1,1
39,89205,796,0.662,3,1,0
55,116597,766,0.549,1,1,1
22,76908,749,0.073,5,0,0
28,66464,481,0.303,1,1,1
42,36726,654,0.17,2,1,0
29,101936,749,0.607,3,0,1
35,78288,570,0.387,2,1,1
50,57143,637,0.235,2,1,0
27,85141,748,0.355,5,0,0
50,66401,773,0.0,2,1,1
25,67698,796,0.187,0,1,1
28,100706,639,0.355,4,0,1
46,50987,627,0.477,4,0,0
55,117514,621,0.059,1,1,1
28,49939,727,0.293,5,1,1
34,64590,635,0.501,2,0,0
61,159658,628,0.132,0,1,1
64,120853,542,0.384,1,0,1
46,84281,657,0.36,4,0,1
40,58605,567,0.607,1,1,0
36,67678,674,0.315,2,0,1
47,83567,808,0.324,4,1,1
47,82528,767,0.478,5,0,0
33,78901,656,0.151,2,1,1
22,80577,841,0.317,5,1,0
27,75563,842,0.282,1,0,0
63,49171,644,0.329,5,1,0
39,67981,762,0.477,1,0,1
42,112182,606,0.433,0,0,0
41,50455,805,0.238,4,0,1
55,76222,618,0.371,4,0,0
23,61135,575,0.574,5,0,0
24,84688,529,0.225,5,0,0
33,71092,791,0.372,0,1,0
42,136604,589,0.321,3,1,1
50,97252,780,0.341,4,1,0
42,51463,511,0.105,3,0,0
40,103021,665,0.562,0,0,1
62,62108,638,0.234,0,0,1
28,66557,642,0.504,4,1,0
46,90907,541,0.257,5,1,1
44,68572,507,0.256,1,0,1
41,111330,608,0.532,0,0,0
56,62111,653,0.499,2,0,1
32,65586,773,0.381,1,1,1
62,64733,651,0.464,5,0,1
35,66822,570,0.307,5,0,1
44,119667,577,0.349,3,1,1
43,101502,706,0.251,5,0,0
58,148188,641,0.486,1,1,1
40,180129,813,0.246,5,1,1
33,56784,642,0.573,2,1,0
21,83483,689,0.303,2,0,1
37,53965,503,0.353,0,1,0
57,62044,551,0.464,1,0,0
21,65331,794,0.354,1,1,1
60,56261,607,0.305,2,1,1
44,56364,635,0.345,1,1,1
27,77440,698,0.484,0,1,0
34,53205,501,0.251,3,1,1
45,109371,667,0.331,5,1,1
34,59074,608,0.352,0,0,0
25,217750,534,0.48,3,0,0
50,69548,634,0.335,5,0,1
50,83530,645,0.621,2,0,0
