Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1,2,female,17.8,0,0,23.94
0,3,male,18.5,1,0,29.07
0,3,male,26.6,1,0,17.63
0,3,male,34.7,0,2,13.72
1,1,male,42,0,0,128.9
0,1,male,18.9,0,0,154.86
0,1,male,49.9,1,0,64.68
1,3,male,26,0,2,11.45
1,3,female,29.4,0,0,9.88
0,3,male,19.6,0,0,39.02
1,1,female,1,0,0,102.65
1,3,male,41.6,0,0,5.87
0,3,male,39.6,0,0,24.87
1,1,female,25.9,0,0,67.58
0,1,male,30.6,1,2,29.63
0,1,male,36.7,0,0,76.86
1,2,female,8.6,0,0,20.8
0,3,male,22.6,1,0,26.02
1,2,male,40.4,0,0,14.56
1,2,female,12.8,0,1,45.03
0,3,male,33.7,0,0,13.16
0,1,female,11.4,0,0,28.65
0,2,male,36,1,0,81.4
0,2,male,29.2,0,0,24.37
0,3,male,7.9,0,0,8.44
1,3,male,45.4,0,0,11.34
1,1,male,19.8,0,1,151.81
0,3,male,18.8,1,2,8.64
1,3,female,32.4,0,0,7.14
0,1,male,45.2,0,2,33.98
1,3,female,16,1,0,8.54
1,1,male,30.5,0,0,123.43
1,1,female,35.5,1,0,66.47
0,3,female,39.1,1,0,7.58
1,3,female,32.1,1,0,6.82
0,3,male,24.7,0,0,9.05
1,2,female,18.5,0,0,66.24
1,1,male,30.9,1,0,52.31
0,3,female,15.2,0,0,49.33
1,2,female,1,0,0,23.28
0,1,male,35.6,1,0,37.83
0,3,male,41.9,1,0,27.18
1,1,female,1,0,0,65.09
0,3,male,16.1,0,0,17.37
0,2,male,38.1,0,1,92.35
0,3,male,57.5,1,0,5.51
0,2,female,30,1,0,12.03
1,3,female,19.9,0,1,17.75
0,3,male,27.2,0,0,8.31
1,1,female,48.3,1,0,38.24
0,3,male,21,0,0,5.4
0,3,male,18.9,0,2,5.22
0,3,male,23.2,3,0,19.89
0,3,male,16.8,0,0,6.44
0,3,male,31.4,0,0,11.31
0,3,male,51.6,0,0,14.31
0,1,male,34.1,0,0,61.35
1,1,male,26.3,1,0,26.79
0,1,male,25.8,0,0,124.46
0,2,male,8.6,4,2,10.21
0,2,male,41.6,0,0,38.7
0,2,male,28.6,0,0,54.76
0,3,male,27.3,0,1,10.67
0,2,male,72.8,0,0,25.34
0,2,male,33.7,0,0,22.96
0,3,male,19.6,0,0,9.93
1,1,female,23.9,0,1,166.97
0,3,female,45.2,0,1,27.44
1,1,male,31.2,1,0,51.6
1,3,female,10.3,0,2,14.55
1,3,female,42.1,1,0,31.16
1,1,female,20.7,0,1,237.66
1,1,female,55,0,2,71.23
0,3,female,44.3,0,0,11.03
0,3,male,23.7,0,0,8.27
0,3,male,47,0,0,36.91
0,3,male,30.6,1,0,6.54
1,1,male,41.2,1,0,81.36
1,2,female,36.2,0,0,16.64
0,1,male,18.3,0,2,46.26
0,3,male,21,1,0,10.19
1,3,female,43.6,0,0,72.2
1,2,male,25.2,1,1,11.13
1,1,male,24.3,1,2,81.16
0,2,male,16.8,1,0,11.72
0,2,male,35.4,0,2,13.36
0,3,male,57.5,0,0,10.79
1,3,female,15.3,0,1,12.14
1,3,male,30,0,0,7.99
0,3,female,48.8,1,0,8.8
0,1,male,28.6,0,0,30.91
0,3,male,35.8,0,0,8.61
0,3,male,15.4,1,0,38.98
0,3,male,35.5,1,0,33.95
1,3,female,27.2,1,0,9.08
1,3,female,43,1,2,13.46
1,3,female,45.7,0,0,29.03
1,2,female,64.7,0,0,10.12
1,1,male,37.5,1,0,133.18
0,1,male,34.1,0,0,217.64
1,1,female,32.3,0,1,31.22
0,3,male,24.9,0,1,6.76
1,2,male,34.3,0,0,74.75
1,3,male,25.7,1,0,12.71
0,3,male,32,0,1,5.14
0,2,female,47.5,0,0,15.96
0,2,male,16.1,0,1,21.95
0,3,male,45.1,0,0,16.81
1,1,male,47.5,0,1,110.87
1,1,female,28.1,0,0,375.12
1,2,male,1.1,1,0,16.78
1,1,female,21.5,0,2,75.22
0,3,female,47.2,0,0,12.62
0,3,male,29.4,0,0,10.2
0,3,male,16.2,1,0,6.85
0,3,male,22.9,0,0,42.92
0,3,female,41,1,0,24.19
0,1,male,37.1,0,0,69.84
1,3,female,26.5,1,0,14.24
1,3,female,24.7,0,0,7.58
0,3,male,24.4,1,1,12.85
0,3,male,17.2,0,0,16.87
0,2,male,51.5,2,0,24.48
1,1,male,25.3,0,0,326.22
1,1,male,46.1,0,0,86.43
1,2,male,50.2,0,0,19.27
1,3,female,43.2,0,0,19.79
0,3,male,23.9,1,0,6.87
0,1,male,35.2,0,0,56.55
1,3,female,29.4,0,0,9.26
0,2,male,17.5,0,0,21.31
0,1,male,34.1,0,0,123.95
1,1,female,13.8,1,0,68.03
1,2,female,45.7,1,0,41.6
0,3,male,23.4,1,0,13.59
1,2,female,32.4,0,1,18.37
0,3,male,33.5,0,0,21.61
0,3,male,26.2,1,0,7.72
0,2,male,37.6,0,0,15.08
0,3,male,23.3,0,0,12.02
1,3,male,41.5,0,0,8.02
1,2,female,11.5,0,0,10.18
0,3,male,31.4,0,1,15.45
0,2,male,55.9,1,0,24.31
1,2,female,16.2,0,2,21.79
0,1,male,20.6,0,0,246.67
0,3,male,36.6,0,0,13.47
0,3,male,32.1,0,0,24.91
1,1,male,34.4,0,0,34.76
0,2,male,36.3,1,0,26.84
0,3,male,38.3,1,0,25.25
0,1,male,44.7,0,0,81.87
0,1,male,35.2,1,2,107.28
0,3,male,26.4,4,1,9.65
0,3,male,38.8,1,0,5.97
0,2,male,55.3,1,0,22.25
1,3,female,27.9,0,0,10.02
0,3,male,16.5,0,0,25.18
0,1,male,44.6,0,0,43.18
0,3,female,28.1,0,0,39.03
1,2,male,1,4,0,73.47
0,3,female,41.1,0,0,7.85
1,3,female,22.5,1,2,9.28
0,3,male,28.5,1,0,27.59
1,1,female,34.2,1,2,245.99
0,3,male,32.3,4,0,10.86
0,2,male,39.3,0,0,17.74
0,1,male,23.8,0,0,73.54
1,1,female,36.6,0,0,100.66
1,3,female,26.2,0,0,8.19
0,3,male,39.7,0,0,18.34
1,1,male,38,0,0,28.45
0,3,male,17.1,1,0,5.51
1,1,female,44.4,0,0,56.73
0,3,male,22.5,0,0,9.36
0,1,male,40.6,0,0,49.65
0,3,male,34.7,0,0,11.75
1,2,female,54.5,0,0,17.73
0,3,male,26.7,1,0,7.14
1,1,male,25,0,2,49.07
1,2,male,29.4,1,0,83.7
1,1,female,25.6,0,0,59.42
0,3,male,40.5,1,0,10.88
1,3,male,7.9,0,0,13.59
0,2,female,15.5,0,0,91.9
0,3,male,15.3,0,0,7.77
0,3,male,42.5,1,0,16.43
0,3,female,52.8,0,1,17.59
0,3,female,28.3,0,0,14.35
0,2,male,27.4,4,0,11.85
1,1,female,30.6,1,0,98.43
0,3,male,45.4,0,2,5.66
0,3,female,17.2,1,0,14.07
0,3,male,32.9,0,0,18.45
1,2,female,42.9,0,0,14.74
1,2,male,36.5,0,1,46.86
0,3,male,32.3,2,2,5.31
0,3,male,43.2,2,0,23.57
1,3,male,1,0,1,11.17
1,3,female,38.9,0,1,7.45
