customer_id,recency_days,frequency,monetary
CUST00001,342,4,7861.13
CUST00002,644,1,3703.22
CUST00003,604,2,4582.42
CUST00004,424,1,200.0
CUST00005,156,8,25822.11
CUST00006,508,1,5524.93
CUST00007,69,9,28448.8
CUST00008,20,11,26444.16
CUST00009,274,2,1920.85
CUST00010,10,11,31508.46
CUST00011,65,10,28831.59
CUST00012,2,20,58980.6
CUST00013,85,3,90271.54
CUST00014,34,9,17501.38
CUST00015,471,3,5064.62
CUST00016,35,12,16048.57
CUST00017,96,4,83811.79
CUST00018,1,16,43221.92
CUST00019,33,3,38870.79
CUST00020,147,3,8404.86
CUST00021,584,3,2026.73
CUST00022,27,8,33776.16
CUST00023,4,21,74938.84
CUST00024,403,2,5359.33
CUST00025,288,1,1856.96
CUST00026,687,1,4509.13
CUST00027,722,1,4705.65
CUST00028,266,5,21244.99
CUST00029,17,9,22233.05
CUST00030,26,3,79823.87
CUST00031,471,4,3776.42
CUST00032,525,3,6668.86
CUST00033,47,4,32940.55
CUST00034,254,7,16273.37
CUST00035,21,15,20483.14
CUST00036,35,8,22489.85
CUST00037,27,13,54915.58
CUST00038,22,26,32407.24
CUST00039,25,22,23164.44
CUST00040,516,5,4323.93
CUST00041,48,11,10784.22
CUST00042,41,11,31544.41
CUST00043,715,4,4163.85
CUST00044,284,1,2620.54
CUST00045,64,10,63685.38
CUST00046,21,16,38529.28
CUST00047,629,5,3717.88
CUST00048,242,5,19426.1
CUST00049,449,4,4758.05
CUST00050,191,5,15204.86
CUST00051,53,5,21843.99
CUST00052,18,14,46257.91
CUST00053,14,6,26710.06
CUST00054,214,10,13396.58
CUST00055,176,5,14152.7
CUST00056,62,16,23574.95
CUST00057,292,6,18773.01
CUST00058,54,3,78311.95
CUST00059,20,14,29552.96
CUST00060,14,15,11508.67
CUST00061,46,8,16501.24
CUST00062,640,1,7388.53
CUST00063,275,1,4811.86
CUST00064,53,7,20584.27
CUST00065,305,1,3878.55
CUST00066,290,6,20237.91
CUST00067,475,1,3967.85
CUST00068,404,2,5694.03
CUST00069,162,5,23383.06
CUST00070,700,1,7275.18
CUST00071,28,16,17638.36
CUST00072,210,4,14549.67
CUST00073,17,14,22683.42
CUST00074,580,4,3184.63
CUST00075,88,4,46838.1
CUST00076,14,20,20673.95
CUST00077,22,10,18250.58
CUST00078,18,22,54321.23
CUST00079,44,5,44254.88
CUST00080,672,1,3863.53
CUST00081,19,24,38915.18
CUST00082,53,10,18968.34
CUST00083,362,3,6798.48
CUST00084,42,8,26061.74
CUST00085,615,4,3882.56
CUST00086,97,3,61817.9
CUST00087,69,11,27430.96
CUST00088,58,4,13057.02
CUST00089,94,3,68932.61
CUST00090,18,21,55782.12
CUST00091,49,9,25669.91
CUST00092,168,6,19203.88
CUST00093,89,4,76894.08
CUST00094,65,11,14098.48
CUST00095,418,2,3635.75
CUST00096,11,17,55553.96
CUST00097,21,18,47025.68
CUST00098,28,20,57456.31
CUST00099,64,10,24298.26
CUST00100,664,1,4122.4
CUST00101,236,7,28152.73
CUST00102,587,1,4728.4
CUST00103,501,3,2896.03
CUST00104,45,1,37671.05
CUST00105,35,9,25189.29
CUST00106,26,19,36242.3
CUST00107,266,4,15678.77
CUST00108,63,5,16877.37
CUST00109,619,4,5863.97
CUST00110,478,1,5309.88
CUST00111,50,7,25761.72
CUST00112,66,11,18720.05
CUST00113,24,19,56837.03
CUST00114,16,12,57967.99
CUST00115,22,7,27426.85
CUST00116,44,6,26248.28
CUST00117,692,2,3407.05
CUST00118,490,1,6819.44
CUST00119,29,19,53150.24
CUST00120,287,1,5984.75
CUST00121,120,8,18948.4
CUST00122,291,7,28728.89
