customer_id,tenure_months,age,monthly_charges,total_charges,contract_type,payment_method,region,signup_date,churn
CUST00001,22,40,79.58,1751.54,One year,Mailed check,West,2022-08-03,1
CUST00002,72,30,96.73,7345.5,Month-to-month,Credit card,East,2022-08-08,1
CUST00003,60,43,87.25,5078.43,Two year,Electronic check,North,2023-03-17,0
CUST00004,20,25,97.5,1924.71,One year,Mailed check,West,2021-10-12,0
CUST00005,1,27,62.24,62.28,Month-to-month,Credit card,North,2023-06-09,1
CUST00006,18,21,43.43,751.48,Two year,Credit card,West,2022-03-28,0
CUST00007,28,27,117.75,3263.42,One year,Mailed check,East,2022-01-02,0
CUST00008,44,61,26.83,1232.94,One year,Bank transfer,North,2022-04-06,0
CUST00009,58,31,29.34,1633.62,Month-to-month,Electronic check,North,2023-11-01,0
CUST00010,12,48,79.13,949.56,Month-to-month,Electronic check,West,2022-03-05,0
CUST00011,1,30,105.62,109.36,Month-to-month,Mailed check,South,2022-09-06,1
CUST00012,43,52,69.74,2875.2,Two year,Credit card,Central,2023-09-04,0
CUST00013,4,27,89.98,379.63,One year,Bank transfer,West,2021-01-21,0
CUST00014,24,42,18.0,433.57,Two year,Mailed check,West,2022-08-11,0
CUST00015,6,42,52.51,312.46,Month-to-month,Mailed check,South,2023-02-15,1
CUST00016,6,74,18.15,97.97,Month-to-month,Electronic check,West,2023-09-17,0
CUST00017,57,50,84.51,4727.08,One year,Mailed check,Central,2021-03-09,0
CUST00018,19,33,26.32,509.37,Month-to-month,Electronic check,North,2023-03-07,0
CUST00019,44,51,33.05,1581.1,Two year,Electronic check,South,2023-05-29,0
CUST00020,10,71,77.85,800.61,One year,Bank transfer,North,2022-01-20,1
CUST00021,15,19,91.55,1450.58,One year,Electronic check,South,2023-03-29,0
CUST00022,18,30,61.03,1032.13,Month-to-month,Electronic check,West,2022-06-25,1
CUST00023,42,38,79.25,3307.39,Two year,Bank transfer,East,2022-12-22,0
CUST00024,14,36,78.44,1165.19,Two year,Mailed check,East,2022-03-03,0
CUST00025,18,37,59.61,1025.35,One year,Mailed check,South,2021-07-14,0
CUST00026,18,23,37.63,710.03,Month-to-month,Electronic check,North,2023-06-27,0
CUST00027,21,61,79.12,1722.44,Month-to-month,Electronic check,South,2021-08-26,1
CUST00028,2,22,80.33,162.87,Month-to-month,Mailed check,Central,2021-07-25,0
CUST00029,10,39,87.35,859.14,Month-to-month,Bank transfer,East,2023-08-29,0
CUST00030,1,56,72.8,69.21,One year,Mailed check,South,2023-10-23,0
CUST00031,1,41,35.79,38.97,One year,Bank transfer,West,2022-10-30,0
CUST00032,72,28,82.26,6109.84,Two year,Bank transfer,North,2022-09-28,0
CUST00033,2,23,64.97,132.15,Month-to-month,Mailed check,South,2022-01-31,0
CUST00034,24,38,52.93,1244.1,Month-to-month,Mailed check,North,2022-11-01,0
CUST00035,10,31,57.63,577.39,Month-to-month,Mailed check,Central,2022-10-30,0
CUST00036,5,44,47.74,240.67,Month-to-month,Electronic check,West,2022-07-20,1
CUST00037,36,22,87.22,3202.7,Month-to-month,Bank transfer,East,2022-12-19,0
CUST00038,4,53,29.55,122.54,Month-to-month,Bank transfer,North,2022-08-31,0
CUST00039,45,43,40.16,1736.5,Month-to-month,Mailed check,North,2023-08-21,0
CUST00040,10,44,56.78,526.16,One year,Mailed check,East,2023-01-02,0
CUST00041,1,62,105.34,105.78,Month-to-month,Mailed check,South,2022-02-26,0
CUST00042,8,35,91.36,667.03,Two year,Bank transfer,Central,2022-12-19,0
CUST00043,23,31,23.98,542.61,One year,Credit card,West,2021-09-09,0
CUST00044,9,34,98.78,866.39,Month-to-month,Electronic check,South,2021-08-23,1
CUST00045,4,39,98.74,404.67,Two year,Mailed check,West,2023-06-25,0
CUST00046,9,40,35.65,352.66,Two year,Electronic check,Central,2022-09-30,0
CUST00047,3,30,18.0,48.75,Month-to-month,Mailed check,East,2021-02-28,0
CUST00048,45,18,63.19,3166.89,Month-to-month,Electronic check,East,2022-01-24,1
CUST00049,15,34,93.06,1379.63,One year,Mailed check,Central,2023-12-14,0
CUST00050,19,47,104.78,2025.44,Month-to-month,Mailed check,North,2022-11-29,1
CUST00051,67,43,43.23,2691.51,Month-to-month,Mailed check,Central,2023-08-10,0
CUST00052,5,58,108.8,571.11,Month-to-month,Mailed check,North,2022-08-23,0
CUST00053,4,69,18.0,72.15,One year,Credit card,East,2021-02-16,0
CUST00054,5,52,55.8,278.14,One year,Credit card,West,2021-07-16,0
CUST00055,61,61,54.57,3006.31,One year,Electronic check,East,2021-04-11,0
CUST00056,36,52,93.81,3389.62,One year,Mailed check,East,2023-03-16,0
CUST00057,72,65,97.46,7313.88,Month-to-month,Credit card,East,2023-04-09,0
CUST00058,2,67,88.86,175.62,One year,Bank transfer,North,2022-05-16,0
CUST00059,6,55,31.24,198.44,Month-to-month,Electronic check,North,2023-03-05,0
CUST00060,4,51,86.57,365.89,Month-to-month,Bank transfer,South,2022-08-27,0
CUST00061,29,39,77.73,2181.91,One year,Electronic check,East,2023-03-22,0
CUST00062,5,41,23.22,125.36,Month-to-month,Electronic check,South,2023-01-07,1
CUST00063,55,37,18.0,992.24,One year,Bank transfer,North,2022-05-14,0
CUST00064,9,50,90.95,820.59,One year,Bank transfer,Central,2022-12-16,0
CUST00065,48,31,60.5,2918.37,One year,Credit card,South,2021-12-15,0
CUST00066,9,39,32.87,296.86,One year,Mailed check,South,2023-04-01,0
CUST00067,2,18,59.8,103.87,One year,Credit card,South,2023-09-28,0
CUST00068,26,66,74.1,1908.73,Month-to-month,Mailed check,North,2021-08-15,0
CUST00069,8,38,62.93,469.11,Month-to-month,Bank transfer,West,2023-01-01,0
CUST00070,3,48,26.2,84.99,Month-to-month,Electronic check,South,2021-05-01,1
CUST00071,7,62,112.14,847.23,Month-to-month,Electronic check,North,2022-02-18,1
CUST00072,9,46,90.11,845.54,Month-to-month,Credit card,Central,2023-01-03,1
CUST00073,72,62,56.62,4028.03,Two year,Credit card,West,2021-10-31,0
CUST00074,23,24,57.62,1258.47,Month-to-month,Credit card,West,2021-09-16,0
CUST00075,3,75,73.99,214.67,Month-to-month,Mailed check,Central,2022-02-25,0
CUST00076,7,57,36.76,282.31,Month-to-month,Electronic check,Central,2021-05-06,1
CUST00077,17,44,73.07,1199.2,Month-to-month,Credit card,South,2022-11-16,1
CUST00078,6,61,31.73,167.96,One year,Bank transfer,East,2021-05-24,0
CUST00079,9,25,63.24,598.48,One year,Electronic check,East,2021-12-31,0
CUST00080,4,37,35.79,153.9,One year,Credit card,South,2021-12-09,0
CUST00081,2,62,37.05,80.25,One year,Credit card,North,2023-11-26,0
CUST00082,49,18,106.14,5470.88,Month-to-month,Mailed check,North,2023-12-23,0
CUST00083,8,49,66.48,563.79,Two year,Credit card,West,2021-03-28,0
CUST00084,17,49,70.19,1196.39,Month-to-month,Credit card,West,2021-06-22,1
CUST00085,7,69,18.0,112.92,Month-to-month,Bank transfer,West,2023-03-13,0
CUST00086,57,19,50.07,2857.97,Month-to-month,Bank transfer,South,2021-11-23,0
CUST00087,15,64,76.53,1183.63,One year,Mailed check,North,2022-12-07,1
CUST00088,2,34,69.85,138.76,Month-to-month,Credit card,East,2023-10-06,0
CUST00089,16,35,18.0,285.4,Month-to-month,Credit card,East,2021-06-28,0
CUST00090,20,24,70.18,1335.94,Month-to-month,Credit card,Central,2023-11-21,1
CUST00091,2,26,74.16,140.89,Month-to-month,Bank transfer,Central,2021-02-27,1
CUST00092,37,47,97.09,3922.49,One year,Electronic check,Central,2021-09-08,0
CUST00093,15,26,48.62,797.65,Month-to-month,Mailed check,Central,2022-07-10,1
CUST00094,3,52,18.0,53.99,Month-to-month,Mailed check,Central,2023-08-23,0
CUST00095,60,32,40.08,2438.65,Month-to-month,Credit card,East,2022-08-30,0
CUST00096,31,25,37.57,1107.55,One year,Bank transfer,North,2021-06-02,0
CUST00097,22,34,83.42,1894.2,Month-to-month,Bank transfer,North,2021-09-30,1
CUST00098,1,46,18.0,19.58,Month-to-month,Electronic check,South,2023-04-14,1
CUST00099,72,38,53.79,3576.75,Month-to-month,Credit card,South,2022-09-07,0
CUST00100,11,42,100.64,1132.72,Two year,Mailed check,North,2021-01-15,0
CUST00101,9,51,65.18,602.43,Two year,Electronic check,Central,2022-07-04,0
CUST00102,1,57,87.41,89.72,One year,Credit card,North,2022-03-22,0
CUST00103,7,37,23.96,181.5,Month-to-month,Electronic check,Central,2021-01-01,0
CUST00104,43,27,24.95,1182.07,Two year,Electronic check,West,2021-09-28,0
CUST00105,43,43,100.93,4289.32,One year,Electronic check,East,2023-10-22,0
CUST00106,2,48,67.53,139.61,One year,Mailed check,West,2023-02-10,0
CUST00107,11,21,67.58,746.51,Month-to-month,Electronic check,South,2021-03-19,0
CUST00108,29,29,37.05,1040.49,Month-to-month,Credit card,East,2021-01-18,0
CUST00109,15,31,67.52,1026.51,Month-to-month,Bank transfer,North,2022-01-14,0
CUST00110,6,39,36.35,225.42,Two year,Mailed check,Central,2022-05-25,0
CUST00111,22,31,94.67,2105.33,Month-to-month,Electronic check,South,2022-05-12,1
CUST00112,15,51,133.2,1909.97,Month-to-month,Mailed check,South,2023-02-02,1
CUST00113,16,19,77.1,1205.01,Month-to-month,Electronic check,West,2021-07-09,1
CUST00114,4,19,49.13,192.04,One year,Credit card,West,2021-02-21,0
CUST00115,12,37,18.0,206.9,Month-to-month,Mailed check,East,2023-01-07,0
CUST00116,32,39,22.89,743.96,Two year,Mailed check,East,2023-09-10,0
CUST00117,15,21,103.87,1590.62,One year,Electronic check,North,2021-07-03,1
CUST00118,22,33,39.27,906.25,One year,Electronic check,West,2022-01-31,0
CUST00119,10,36,55.73,533.4,Month-to-month,Electronic check,South,2022-11-18,0
CUST00120,37,36,81.38,2924.12,One year,Electronic check,South,2021-06-30,0
CUST00121,2,44,102.06,219.99,One year,Bank transfer,North,2023-07-31,0
CUST00122,28,32,60.01,1666.46,One year,Credit card,South,2021-09-04,0
CUST00123,4,62,54.88,219.85,Month-to-month,Credit card,South,2022-08-07,0
CUST00124,6,48,66.79,397.23,Month-to-month,Mailed check,East,2022-01-07,1
CUST00125,51,30,49.31,2657.28,Month-to-month,Credit card,North,2023-01-01,0
CUST00126,12,43,50.65,643.41,Month-to-month,Bank transfer,North,2021-08-06,1
CUST00127,13,43,75.3,1033.39,Month-to-month,Electronic check,East,2021-04-18,1
CUST00128,24,59,69.63,1673.34,Month-to-month,Electronic check,North,2022-07-14,0
CUST00129,27,33,118.29,3054.51,Month-to-month,Bank transfer,West,2023-08-06,1
CUST00130,23,52,75.97,1915.51,One year,Mailed check,Central,2022-11-25,0
CUST00131,19,42,93.78,1858.11,Month-to-month,Electronic check,South,2023-04-08,1
CUST00132,1,62,38.22,37.35,Two year,Credit card,Central,2022-04-20,0
CUST00133,3,60,78.13,251.08,One year,Bank transfer,North,2021-06-03,0
CUST00134,7,44,46.93,319.71,Month-to-month,Bank transfer,North,2022-04-13,1
CUST00135,43,38,74.89,3447.41,One year,Credit card,West,2023-12-18,0
CUST00136,60,49,82.21,5297.19,Month-to-month,Credit card,West,2023-05-06,0
CUST00137,15,39,66.25,947.96,Two year,Credit card,West,2023-02-10,0
CUST00138,11,65,125.18,1417.03,Month-to-month,Mailed check,North,2021-11-26,0
CUST00139,72,43,100.7,7533.96,One year,Credit card,West,2022-10-19,0
CUST00140,16,36,94.43,1708.42,Month-to-month,Bank transfer,South,2022-11-13,1
CUST00141,29,35,84.11,2348.66,Month-to-month,Bank transfer,South,2022-12-18,0
CUST00142,19,25,109.08,2220.97,Month-to-month,Credit card,North,2023-09-05,1
CUST00143,10,49,29.08,291.05,Two year,Electronic check,Central,2023-01-17,0
CUST00144,13,30,99.26,1210.29,One year,Mailed check,North,2021-08-31,0
CUST00145,24,57,40.22,959.49,Month-to-month,Electronic check,West,2021-08-31,0
CUST00146,56,23,50.89,2850.19,Month-to-month,Mailed check,East,2022-11-10,0
CUST00147,13,43,79.03,973.0,Month-to-month,Mailed check,West,2023-08-07,0
CUST00148,12,58,95.83,1167.91,Month-to-month,Credit card,West,2023-11-05,0
CUST00149,1,18,36.16,37.89,Month-to-month,Credit card,Central,2022-10-30,1
CUST00150,3,70,52.19,158.43,Month-to-month,Mailed check,North,2022-08-04,0
CUST00151,1,36,67.44,65.61,Two year,Mailed check,North,2023-06-13,0
CUST00152,3,43,60.34,179.68,Two year,Bank transfer,East,2023-12-06,0
CUST00153,35,50,86.35,3021.56,Month-to-month,Credit card,South,2021-01-31,1
CUST00154,31,52,150.0,,One year,Credit card,North,2021-12-06,0
CUST00155,35,45,75.48,2788.4,Month-to-month,Electronic check,North,2022-01-01,1
CUST00156,1,55,46.62,47.25,One year,Electronic check,South,2022-09-10,0
CUST00157,26,49,32.59,787.91,Month-to-month,Bank transfer,North,2021-11-19,0
CUST00158,7,66,56.87,386.9,One year,Mailed check,North,2021-12-07,0
CUST00159,15,49,41.49,627.52,One year,Electronic check,Central,2021-01-27,0
CUST00160,51,69,76.69,,One year,Electronic check,South,2021-01-05,0
CUST00161,19,54,76.3,1543.77,Month-to-month,Mailed check,Central,2022-05-08,0
CUST00162,2,18,53.42,116.32,Two year,Mailed check,Central,2023-12-29,0
CUST00163,11,78,114.62,1269.05,Month-to-month,Bank transfer,North,2021-11-20,0
CUST00164,72,33,46.61,3484.0,Month-to-month,Electronic check,West,2021-09-20,0
CUST00165,54,62,62.01,3105.02,One year,Bank transfer,East,2021-10-17,0
CUST00166,37,42,80.98,3060.66,Month-to-month,Bank transfer,West,2023-12-02,0
CUST00167,3,56,87.3,247.82,Two year,Mailed check,North,2022-12-28,0
CUST00168,3,32,96.94,289.91,Two year,Electronic check,North,2022-12-17,0
CUST00169,2,50,75.71,174.36,Month-to-month,Bank transfer,North,2021-07-27,0
CUST00170,3,38,91.27,277.97,Two year,Bank transfer,East,2023-09-17,0
CUST00171,1,64,48.37,46.28,Month-to-month,Mailed check,Central,2021-08-04,0
